"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"604","brain_latent_gFA","cardio_latent_gvrf",-0.0479588190073737,0.000499446178782392,-0.0749614389404301,-0.0209561990743172,0.0770425921193432,0.00156764370782947,0.000638269877038201
"607","brain_latent_gFA","cog_latent_g",0.0639377968604436,3.43454944484733e-08,0.0412262211986086,0.0866493725222785,0.0793900629431997,0.00391511453168603,5.12619320126468e-08
"610","brain_latent_gFA","heart_latent_pc1",-0.0633003743574425,0.000239056274530247,-0.0970718301172631,-0.0295289185976219,0.0772201259627212,0.00174517755120751,0.000313516425613439
"613","brain_latent_gFA","heart_latent_pc2",0.00340662863369895,0.774618651420722,-0.0199114465696169,0.0267247038370148,0.0754855945534776,1.06461419638881e-05,0.78244317312567
"616","brain_latent_gFA","heart_latent_pc3",0.00387767416875934,0.735554673220849,-0.0186247498529407,0.0263800981904594,0.0754897641875739,1.48157760602174e-05,0.746756013422182
"619","brain_latent_gFA","brain_latent_grey",0.170413378555762,0,0.14364726590569,0.197179491205833,0.0947252607676777,0.019250312356164,0
"622","brain_latent_gFA","brain_latent_atrophy",0.131924109856503,0,0.104281888918235,0.159566330794771,0.0865231496537556,0.0110482012422419,0
"625","brain_latent_gFA","brain_latent_wmh",-0.322535663217634,0,-0.343734393837679,-0.30133693259759,0.166242059339091,0.0907671109275777,0
"628","brain_latent_gFA","brain_latent_gMD",-0.798697941254545,0,-0.807911314626118,-0.789484567882973,0.619476893107416,0.544001944695902,0
"634","brain_latent_gFA","brain_latent_pc1",-0.877763719842037,0,-0.884347400214974,-0.871180039469101,0.732063348279639,0.656588399868125,0
"637","brain_latent_gFA","brain_latent_pc2",0.445289875871332,0,0.426188192596444,0.46439155914622,0.245127693250352,0.169652744838838,0
"640","brain_latent_gFA","brain_latent_pc3",-0.110123189185398,0,-0.134075315774056,-0.0861710625967415,0.0857485471968626,0.0102735987853489,0
"643","brain_latent_gFA","heart_latent_cc1",-0.0389436620916766,0.0707460411810861,-0.0811815015542281,0.00329417737087483,0.0758986396314147,0.000423691219901046,0.0804684141015124
"646","brain_latent_gFA","heart_latent_cc2",0.0905810791913658,9.61221768847054e-10,0.0615516823678716,0.11961047601486,0.0802738604323445,0.00479891202083083,1.5441313555776e-09
"649","brain_latent_gFA","heart_latent_cc3",-0.0174829229336352,0.13635598801335,-0.040487904344227,0.00552205847695669,0.075762902497027,0.000287954085513298,0.148213030449293
